feature,importance
"style_Tribal, Techno",0.0006128422950299
"style_Acid House, Techno",0.0006108534442155789
"genre_Electronic, Rock, Pop",0.0006100105203491825
country_Slovenia,0.0006062198431269633
"genre_Electronic, Hip Hop, Jazz, Rock, Reggae, Latin, Funk / Soul, Pop, Folk, World, & Country",0.0006059018690354194
"format_Vinyl, 12"", 33 ⅓ RPM, Limited Edition, Numbered",0.0006052418356118883
country_Belgium,0.000600102045821881
"style_Hardcore, Gabber, Doomcore, Techno",0.0005970889538171224
"style_IDM, Techno, Downtempo",0.0005822846023446906
"style_Abstract, Experimental, Techno",0.0005722217282291697
"format_Vinyl, 12"", White Label, Promo",0.0005618045357614539
"style_Techno, Spoken Word",0.0005595008559604744
"style_Progressive House, House, Trance, Tech House, Techno, Breakbeat",0.0005560116865652581
"genre_Electronic, Jazz, Latin",0.0005515684458023307
"format_Vinyl, 12"", Limited Edition, Promo",0.0005496195313373654
"style_Techno, Synth-pop, Tech House, Anison",0.0005494867686078307
"genre_Electronic, Rock, Stage & Screen",0.0005478205490818725
"format_Vinyl, 12"", 45 RPM, 33 ⅓ RPM",0.0005398751349442522
country_Sweden,0.0005374968456941532
"style_Hardcore, Techno",0.0005281425506146809
"style_Tribal, Techno, Tech House",0.0005252437677302669
"style_House, Tech House, Minimal Techno",0.000523133926432977
genre_Electronic,0.0005195190744887542
"style_Hard House, Techno, Hard Trance",0.0005190836809786071
country_Finland,0.0005115698222802284
"format_Vinyl, 12"", 45 RPM, Test Pressing",0.0005098938058608735
"format_Vinyl, 7"", 45 RPM, Single",0.0005079281619018724
"style_Hardcore, Acid, Gabber, Techno",0.0005060491146285576
country_Brazil,0.0005030205746180156
"genre_Electronic, Rock",0.0005029282622436674
"style_Tribal, Techno, Acid, Freetekno",0.0004969680232247553
country_Argentina,0.0004968642627695562
"style_Acid House, Techno, Euro House, Funk, Soul",0.0004888037611036728
"style_Hardcore, Techno, Downtempo",0.00048456393951068114
"style_Breakbeat, Techno, Electro, Minimal",0.00048174298415194967
country_Canada,0.0004754832017241594
"style_Electro, Techno",0.00045964139554694573
"style_House, Techno, Euro House, Europop, Eurodance, Dance-pop",0.00045256179172048527
"format_Vinyl, 12"", 33 ⅓ RPM, Promo",0.00044871411642323896
"format_Vinyl, 12"", Album",0.0004372255948622212
"style_Techno, Progressive Trance",0.00043688210291462505
"style_Techno, Industrial, Darkwave",0.00043418283805431943
country_Croatia,0.00041643026454758856
"style_Techno, Deep House",0.0004090684358000251
"format_Vinyl, 12"", 33 ⅓ RPM, EP, White Label",0.0004079935617793695
"style_Acid House, House, Techno",0.00039824503844195397
"country_Germany, Austria, & Switzerland",0.0003973948902552822
"style_IDM, Techno",0.0003944855131862747
"genre_Electronic, Stage & Screen",0.000393086793246614
"style_Italodance, Lento Violento, Techno",0.00039287947203535086
country_New Zealand,0.00039110508383772197
"style_Dub Techno, Experimental, Dub Poetry",0.00038956056712794216
"style_Pop Rock, Minimal Techno",0.00038143969181708714
"format_Vinyl, 12"", EP, Mispress, Limited Edition, 33 ⅓ RPM, 45 RPM",0.0003800321873639579
"style_Hardcore, Techno, Downtempo, Breakbeat",0.0003783864948164655
"format_Vinyl, 12"", White Label, Promo, 33 ⅓ RPM, 45 RPM",0.0003662015100649687
"format_Vinyl, LP, EP",0.0003572655642837998
"style_Dance-pop, Techno",0.0003569595970820738
"format_Vinyl, 12"", Album, Promo",0.0003555837839818458
"style_Broken Beat, Techno, Deep House",0.00034993618504760546
"style_Techno, Trance",0.00034873830920369864
country_Australia,0.0003347492207727979
"style_Techno, Breakbeat",0.0003306735783578193
"format_Vinyl, LP, Promo, Compilation",0.0003302169227743195
"format_Vinyl, 12"", 33 ⅓ RPM, 45 RPM, EP",0.00032438240981893065
"format_Vinyl, 12"", 45 RPM, Single Sided, Single, Promo, White Label",0.0003235534542536541
"style_Techno, Hard Trance",0.00032252775013636093
"style_Progressive House, Techno, Tribal House",0.00031818183046461473
country_Austria,0.0003167128258808075
"format_Vinyl, 12"", EP, Promo, White Label",0.0003148318550764326
"format_Vinyl, 12"", Test Pressing, 33 ⅓ RPM",0.00031439976005805933
"format_Vinyl, 12"", 33 ⅓ RPM, Test Pressing, White Label",0.0003082274650994068
"format_Vinyl, 12"", 33 ⅓ RPM, Promo, White Label",0.0003025167295414356
"style_Tribal, Techno, Freetekno",0.00029400154551301156
"format_Vinyl, 12"", 33 ⅓ RPM, 45 RPM, Promo, White Label",0.000292317732017649
"format_Vinyl, 12"", Compilation",0.00029230189034431034
"format_Vinyl, 12"", 33 ⅓ RPM, Limited Edition",0.00029174752932296835
"format_Vinyl, 12"", Promo, White Label, 45 RPM",0.0002897564228802858
"style_House, Techno, Minimal",0.00028805474261136177
"style_Techno, Electro, Tech House",0.0002871564873685795
"style_Tech House, Techno, House",0.0002859328659692337
"style_Electro, EBM, Minimal Techno",0.00028138780399386077
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Reissue",0.0002802901060003093
"format_Vinyl, 12"", White Label, 45 RPM, Single",0.00027510430301225355
"style_Techno, Schranz",0.0002749894682920433
"format_Vinyl, 12"", 45 RPM, Promo",0.0002702165256873225
style_Dub Techno,0.00026890056560362777
"style_Techno, House",0.0002638384949763207
country_Jamaica,0.000261974157280385
country_Israel,0.00026013368480311895
"style_Techno, Acid, Freetekno",0.0002588705196963982
country_Denmark,0.00025656269480469533
country_Russia,0.00025329705894506095
"format_Vinyl, 12"", 45 RPM, Maxi-Single",0.00025314273972140033
"style_Dub, Techno, Downtempo, Ambient",0.00025003514449588977
"format_Vinyl, LP, Compilation",0.00024927337188177445
"style_House, Techno, Italodance",0.0002465487033843372
"format_Vinyl, 10"", Shape, 33 ⅓ RPM",0.00024488843036991084
"style_Leftfield, Techno",0.00024378577018606534
"format_Vinyl, 12"", EP, White Label, 45 RPM",0.00024118937906405092
"genre_Electronic, Reggae",0.00024068977909090457
"style_Techno, Jungle, Drum n Bass, Industrial, Electro",0.00024002230505962402
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Promo",0.00023914241962146292
"style_Techno, Minimal, Tech House",0.00023626024174845873
"style_Breakbeat, Techno, Electro",0.00023612042591685027
"format_Vinyl, 12"", Test Pressing, White Label",0.00023560424161510367
"style_Breakbeat, Techno, IDM",0.0002307717367134336
"style_Techno, IDM, Electro",0.00022889993996342485
"style_Techno, Minimal, Acid",0.0002285111592126955
"style_Techno, Tech House, Minimal",0.0002278106436581105
"style_Industrial, Techno",0.00022163313305104167
"format_Vinyl, 12"", 33 ⅓ RPM, Stereo",0.00022079288970596456
"style_Techno, Happy Hardcore",0.0002194187332053422
"format_Vinyl, 12"", EP, Test Pressing",0.00021600698254862455
"format_Vinyl, LP, Compilation, Mixed",0.00021403181101418414
"style_Techno, Tech Trance, Progressive Trance",0.00021164772608761479
"style_Techno, New Beat",0.0002110966439555273
"format_Vinyl, 12"", 45 RPM, Single Sided",0.00021094778876359566
"format_Vinyl, 12"", White Label, 45 RPM",0.00020905783175457812
"style_Minimal Techno, Dub Techno",0.00020662443266535768
"style_Techno, Hard Trance, Trance",0.00020586868554416687
"style_Synth-pop, Minimal Techno",0.0002050295508548085
"format_Vinyl, 12"", Box Set, Limited Edition, Numbered",0.0002049283690834399
"style_Breaks, Techno",0.0002041617629714372
"style_Disco, Electro House, Techno",0.00020194195349378284
"format_Vinyl, LP, Compilation, Test Pressing, White Label",0.00020145172637011359
"format_Vinyl, LP, Album, Promo",0.0001993964683164262
"style_Techno, Dub Techno, Minimal",0.0001985165648408474
"style_House, Techno, Minimal, Experimental",0.00019767994733250544
"style_House, Hardcore, Techno",0.00019746219723921956
"style_House, Techno, Deep House, Acid House",0.00019686094148350185
"style_House, Techno, Synth-pop",0.00019653540511995084
"style_Eurobeat, Techno, Hi NRG",0.0001954131904974065
"format_Vinyl, 12"", EP, 45 RPM, 33 ⅓ RPM",0.00019521220461330192
"format_Vinyl, LP, Compilation, Test Pressing",0.00019516990018138074
"style_Hardcore, Punk, Techno",0.00019064659879924138
"style_Breakbeat, Techno, Electro, Tech House",0.00018828178948540193
"format_Vinyl, 12"", EP, 33 ⅓ RPM, White Label",0.000187207232528816
"style_Breakbeat, Techno, Acid",0.00018669032601779928
